giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-08,1.8849,hedef,2.97,2967.0,3.28
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,102967.0,2026-05-12,224.437,hedef,2.97,3055.0,3.72
2026-05-14,ALCAR,dip,32.9,0.183,771.5,106022.0,2026-05-20,732.925,stop,-5.03,-5336.0,1.88
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,16781.0,2026-05-21,49.59,stop,-5.03,-845.0,0.0
2026-05-21,BIGTK,dip,56.0,0.018,211.5,16781.0,2026-05-21,217.845,hedef,2.97,498.0,3.03
2026-05-21,DAPGM,dip,6.2,0.124,9.77,16781.0,2026-05-21,10.0631,hedef,2.97,498.0,3.38
2026-05-21,GUNDG,kirilim,5.1,1.103,1097.0,16781.0,2026-05-22,1129.91,hedef,2.97,498.0,8.02
2026-05-21,VERUS,kirilim,5.7,0.979,571.5,16781.0,2026-05-22,588.645,hedef,2.97,498.0,4.99
2026-05-21,VRGYO,dip,5.4,0.056,2.21,16781.0,2026-05-21,2.0995,stop,-5.03,-845.0,0.45
2026-05-22,ALVES,dip,8.0,0.106,2.6,11072.0,2026-05-22,2.678,hedef,2.97,328.0,4.62
2026-05-22,KOPOL,dip,44.1,0.131,5.03,11072.0,2026-05-22,5.1809,hedef,2.97,328.0,9.54
2026-05-22,NTHOL,dip,5.6,-0.047,35.12,11072.0,2026-05-22,36.1736,hedef,2.97,328.0,3.13
2026-05-22,VERTU,dip,6.6,0.181,35.02,11072.0,2026-05-22,36.0706,hedef,2.97,328.0,5.6
2026-05-22,VERUS,kirilim,10.4,0.967,573.0,11072.0,2026-05-22,590.19,hedef,2.97,328.0,4.71
2026-05-22,ZRGYO,dip,6.9,-0.064,16.78,11072.0,2026-05-22,17.2834,hedef,2.97,328.0,3.75
2026-05-25,CEMTS,dip,6.9,0.18,10.35,51480.0,2026-05-25,10.6605,hedef,2.97,1527.0,3.38
2026-05-25,DURDO,kirilim,23.5,0.907,5.0,51480.0,2026-05-25,5.15,hedef,2.97,1527.0,3.6
2026-06-01,HRKET,kirilim,6.3,1.1,96.5,106014.0,2026-06-02,99.395,hedef,2.97,3145.0,3.63
2026-06-03,CGCAM,kirilim,6.6,0.899,46.42,54580.0,2026-06-03,47.8126,hedef,2.97,1619.0,6.07
2026-06-03,KARTN,kirilim,7.7,0.981,130.3,54580.0,2026-06-03,134.209,hedef,2.97,1619.0,3.07
2026-06-04,TUREX,dip,5.1,0.155,9.2,112398.0,2026-06-04,9.476,hedef,2.97,3335.0,3.04
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,57867.0,2026-06-08,1588.0,acik_kaldi,-0.47,-273.0,2.63
2026-06-05,EMKEL,dip,9.8,0.071,25.96,57867.0,2026-06-05,24.662,stop,-5.03,-2912.0,0.23
2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,13739.0,2026-06-08,26.78,hedef,2.97,408.0,6.46
2026-06-08,DERHL,dip,7.5,0.033,14.2,13739.0,2026-06-08,13.79,acik_kaldi,-2.92,-401.0,0.28
2026-06-08,POLTK,dip,9.1,0.067,5270.0,13739.0,2026-06-08,5006.5,stop,-5.03,-691.0,0.05
2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,13739.0,2026-06-08,8.3018,hedef,2.97,408.0,3.35
