giris_tarih,hisse,grup,kat,pos52,giris,mfe_%,mfe_net_%,zirve_gun,kademe_sayisi,kademeler,max_kademe,son_gun,son_kapanis_%,son_net_%,tutus_gun
2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,6.46,6.43,2026-06-08,4,"%1,%2,%3,%5",%5,2026-06-08,6.46,6.43,0
2026-05-14,ALCAR,dip,32.9,0.183,771.5,1.88,1.85,2026-05-14,1,%1,%1,2026-06-08,-2.46,-2.5,25
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,0.0,-0.03,2026-05-21,0,-,-,2026-06-08,-10.19,-10.22,18
2026-05-21,BIGTK,dip,56.0,0.018,211.5,20.57,20.53,2026-06-03,4,"%1,%2,%3,%5",%5,2026-06-08,4.49,4.46,18
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,2.63,2.6,2026-06-05,2,"%1,%2",%2,2026-06-08,-0.44,-0.47,3
2026-06-02,DERHL,dip,8.1,0.047,15.42,3.76,3.73,2026-06-02,3,"%1,%2,%3",%3,2026-06-08,-10.57,-10.6,6
2026-05-25,DURDO,kirilim,23.5,0.907,5.0,12.0,11.97,2026-06-08,4,"%1,%2,%3,%5",%5,2026-06-08,9.2,9.17,14
2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,12.03,11.99,2026-05-26,4,"%1,%2,%3,%5",%5,2026-06-08,-3.65,-3.68,19
2026-06-05,EMKEL,dip,9.8,0.071,25.96,0.23,0.2,2026-06-05,0,-,-,2026-06-08,-13.94,-13.98,3
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,3.72,3.68,2026-05-12,3,"%1,%2,%3",%3,2026-06-08,-12.39,-12.42,27
2026-05-18,GSDHO,kirilim,8.1,0.996,6.0,5.17,5.13,2026-05-18,4,"%1,%2,%3,%5",%5,2026-06-08,-1.0,-1.03,21
2026-05-06,IHYAY,dip,9.0,0.106,1.83,4.37,4.34,2026-05-08,3,"%1,%2,%3",%3,2026-06-08,-6.01,-6.04,33
2026-05-18,ISSEN,kirilim,119.0,1.071,10.04,13.94,13.91,2026-05-20,4,"%1,%2,%3,%5",%5,2026-06-08,-15.54,-15.57,21
2026-05-22,KOPOL,dip,44.1,0.131,5.03,33.2,33.17,2026-06-03,4,"%1,%2,%3,%5",%5,2026-06-08,25.25,25.22,17
2026-05-20,LKMNH,dip,17.0,0.169,15.2,16.71,16.68,2026-06-02,4,"%1,%2,%3,%5",%5,2026-06-08,5.0,4.97,19
2026-06-08,POLTK,dip,9.1,0.067,5270.0,0.05,0.01,2026-06-08,0,-,-,2026-06-08,-4.6,-4.63,0
2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,9.31,9.27,2026-06-08,4,"%1,%2,%3,%5",%5,2026-06-08,9.31,9.27,0
2026-05-22,VERUS,kirilim,10.4,0.967,573.0,6.63,6.6,2026-06-02,4,"%1,%2,%3,%5",%5,2026-06-08,6.37,6.34,17
